nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;codigo_emprestimo_numero
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;61;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;61;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;61;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;61;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;61;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;61;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;62;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;62;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;62;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;62;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;62;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;62;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;62;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;62;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;62;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;62;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;63;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;63;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;63;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;63;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;63;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;63;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;63;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;63;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;63;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;63;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;64;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;64;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;64;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;64;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;64;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;64;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;64;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;64;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;64;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;64;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;65;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;65;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;65;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;65;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;65;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;65;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;65;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;65;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;65;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;65;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;66;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;66;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;66;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;66;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;66;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;66;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;66;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;66;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;66;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;66;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;67;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;67;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;67;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;67;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;67;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;67;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;67;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;67;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;67;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;67;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;68;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;68;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;68;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;68;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;68;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;68;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;68;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;68;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;68;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;68;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;69;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;69;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;69;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;69;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;69;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;69;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;69;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;69;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;69;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;69;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;70;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;70;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;70;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;70;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;70;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;70;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;70;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;70;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;70;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;70;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;71;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;71;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;71;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;71;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;71;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;71;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;71;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;71;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;71;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;71;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;72;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;72;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;72;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;72;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;72;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;72;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;72;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;72;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;72;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;72;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;73;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;73;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;73;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;73;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;73;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;73;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;73;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;73;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;73;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;73;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;74;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;74;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;74;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;74;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;74;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;74;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;74;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;74;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;74;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;74;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;75;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;75;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;75;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;75;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;75;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;75;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;75;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;75;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;75;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;75;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;76;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;76;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;76;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;76;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;76;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;76;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;76;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;76;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;76;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;76;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;77;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;77;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;77;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;77;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;77;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;77;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;77;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;77;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;77;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;77;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;78;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;78;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;78;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;78;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;78;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;78;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;78;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;78;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;78;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;78;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;79;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;79;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;79;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;79;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;79;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;79;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;79;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;79;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;79;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;79;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;80;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;80;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;80;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;80;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;80;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;80;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;80;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;80;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;80;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;80;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;81;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;81;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;81;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;81;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;81;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;81;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;81;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;81;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;81;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;81;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;82;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;82;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;82;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;82;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;82;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;82;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;82;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;82;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;82;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;82;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;83;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;83;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;83;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;83;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;83;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;83;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;83;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;83;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;83;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;83;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;84;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;84;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;84;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;84;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;84;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;84;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;84;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;84;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;84;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;84;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;85;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;85;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;85;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;85;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;85;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;85;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;85;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;85;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;85;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;85;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;86;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;86;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;86;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;86;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;86;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;86;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;86;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;86;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;86;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;86;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;87;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;87;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;87;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;87;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;87;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;87;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;87;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;87;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;87;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;87;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;88;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;88;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;88;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;88;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;88;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;88;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;88;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;88;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;88;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;88;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;89;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;89;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;89;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;89;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;89;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;89;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;89;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;89;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;89;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;89;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;90;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;90;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;90;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;90;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;90;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;90;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;90;loan_128233;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;90;loan_127851;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;90;loan_127586;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;90;loan_127529;127529
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;91;loan_127074;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;91;loan_128452;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;91;loan_124994;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;91;loan_126069;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;91;loan_128499;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;91;loan_128471;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;91;loan_128233;128233
