nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem
MAKTUB COLCHOES;24 meses;E2;61,59% a.a.;R$56.000;18;loan_118824;100.0%
DIVA CALCADOS E ACESSORIOS;24 meses;D2;37,99% a.a.;R$28.000;18;loan_118715;100.0%
OFFICINA;24 meses;D1;35,28% a.a.;R$54.000;18;loan_118582;100.0%
BRASIL UNIDO CONSTRUCAO & CIA;24 meses;D2;37,99% a.a.;R$34.000;18;loan_118572;100.0%
REI DAS PANELAS;24 meses;D2;37,99% a.a.;R$56.000;18;loan_118520;100.0%
Auto Mecanica Styllo Car ;24 meses;C1;25,64% a.a.;R$44.000;19;loan_118431;100.0%
ELETROMOVEIS PARATI;24 meses;D1;35,28% a.a.;R$28.000;19;loan_118399;100.0%
INTERTAC COMPONENTES INDUSTRIAIS;24 meses;B6;21,70% a.a.;R$110.000;19;loan_118361;100.0%
SHAMMAH PRODUCAO E MARKETING;24 meses;D1;35,28% a.a.;R$66.000;19;loan_118233;100.0%
WE GOV;24 meses;D3;41,91% a.a.;R$66.000;19;loan_118113;100.0%
DELL AR CONDICIONADO;18 meses;D3;41,91% a.a.;R$36.000;19;loan_118035;100.0%
INTERMIDIA 1-EDITORACAO GRAFICA;24 meses;D3;41,91% a.a.;R$34.000;19;loan_117966;100.0%
Nutrindus;24 meses;C3;28,32% a.a.;R$100.000;19;loan_117929;100.0%
GS TRANSPORTES;24 meses;D1;35,28% a.a.;R$100.000;19;loan_117811;100.0%
DECO;24 meses;C2;26,82% a.a.;R$54.000;19;loan_117795;100.0%
MERCADO BAHIA;24 meses;E2;61,59% a.a.;R$56.000;20;loan_117544;100.0%
Romaço Rolamentos;24 meses;A2;15,80% a.a.;R$536.000;20;loan_117398;100.0%
BORBA NET;24 meses;B4;19,70% a.a.;R$38.000;20;loan_116590;100.0%
GMT ADMINISTRADORA E CORRETORA DE SEGUROS DE VIDA LTDA;24 meses;D1;35,28% a.a.;R$88.000;20;loan_115429;100.0%
AUTO FÁCIL ;12 meses;B6;21,70% a.a.;R$212.000;20;loan_112451;100.0%
CINEMAURO;24 meses;B6;21,70% a.a.;R$72.000;20;loan_112443;100.0%
Factual ;24 meses;C2;26,82% a.a.;R$82.000;20;loan_105851;100.0%
UNITEC DISTRIBUIDORA;24 meses;C2;26,82% a.a.;R$164.000;20;loan_118271;100.0%
MUNDIAL COR;18 meses;D3;41,91% a.a.;R$34.000;20;loan_117921;100.0%
CLINICA BALUU - FISIOTERAPIA, PILATES E ACUPUNTURA;24 meses;D1;35,28% a.a.;R$28.000;20;loan_117823;100.0%
DUIM & DUIM TRANSPORTES;24 meses;D2;37,99% a.a.;R$28.000;21;loan_117140;100.0%
AR ROSAS CERTIFICACAO DIGITAL;24 meses;E3;63,65% a.a.;R$22.000;21;loan_116897;100.0%
ALOHA BAR E RESTAURANTE;24 meses;D1;35,28% a.a.;R$38.000;21;loan_116390;100.0%
MAM AROMAS;24 meses;B5;20,70% a.a.;R$110.000;21;loan_116067;100.0%
MANTELLI MOVEIS;24 meses;C1;25,64% a.a.;R$56.000;21;loan_115507;100.0%
ATG CONSULTING;24 meses;B5;20,70% a.a.;R$218.000;21;loan_114415;100.0%
A.S. TELECOM;24 meses;D1;35,28% a.a.;R$34.000;21;loan_117278;100.0%
BARRA NATACAO;24 meses;D3;41,91% a.a.;R$34.000;21;loan_117174;100.0%
Original Internacional;24 meses;B4;19,70% a.a.;R$164.000;21;loan_116776;100.0%
COLEGIO INTEGRA MAIS;24 meses;B5;20,70% a.a.;R$132.000;21;loan_116414;100.0%
Just Trade Marketing;24 meses;B4;19,70% a.a.;R$110.000;22;loan_116369;100.0%
QUBYTE INTERACTIVE;24 meses;B5;20,70% a.a.;R$110.000;22;loan_116271;100.0%
Teixeira Advocacia;24 meses;D3;41,91% a.a.;R$122.000;22;loan_116190;100.0%
SWINF;24 meses;C1;25,64% a.a.;R$28.000;22;loan_116174;100.0%
VAN DER HOEVEN;24 meses;B3;18,72% a.a.;R$326.000;22;loan_116056;100.0%
Tatransportes Pesados Eireli;18 meses;C2;26,82% a.a.;R$168.000;22;loan_115945;100.0%
Premier Gráfica e Comunicação Visual;24 meses;D1;35,28% a.a.;R$22.000;22;loan_115702;100.0%
Kare House Restaurante;24 meses;C2;26,82% a.a.;R$36.000;22;loan_115664;100.0%
GREEN BUDDY;24 meses;D3;41,91% a.a.;R$44.000;22;loan_115158;100.0%
PASTEIS DA NONNA;18 meses;C3;28,32% a.a.;R$28.000;22;loan_114796;100.0%
UP FACILITIES;24 meses;D3;41,91% a.a.;R$66.000;23;loan_107864;100.0%
EQSAN;24 meses;B3;18,72% a.a.;R$150.000;23;loan_105134;100.0%
SABORIZATTI;24 meses;B6;21,70% a.a.;R$56.000;23;loan_102637;100.0%
CENTRO TERAPEUTICO CMA;18 meses;E1;59,73% a.a.;R$44.000;23;loan_116729;100.0%
GEOSOLOS;18 meses;C3;28,32% a.a.;R$60.000;23;loan_116652;100.0%
ABALO COSMÉTICOS;18 meses;D1;35,28% a.a.;R$86.000;23;loan_116620;100.0%
AREAL IMACULADA CONCEICAO;24 meses;C3;28,32% a.a.;R$56.000;23;loan_116502;100.0%
OCTOGRAFF;24 meses;D2;37,99% a.a.;R$22.000;23;loan_116312;100.0%
Prime Arte;24 meses;B4;19,70% a.a.;R$110.000;23;loan_116288;100.0%
CARBONO ZERO COURIER;12 meses;B6;27,87% a.a.;R$106.000;23;loan_116251;100.0%
FIRST SOLUTIONS SISTEMAS DE INFORMACAO;24 meses;B3;18,72% a.a.;R$110.000;24;loan_116180;100.0%
VSM INTERCAMBIO CULTURAL,VIAGENS E TURISMO;24 meses;C2;26,82% a.a.;R$66.000;24;loan_116149;100.0%
HS COMERCIAL;24 meses;D3;41,91% a.a.;R$66.000;24;loan_116007;100.0%
VANINHA DECORACOES;24 meses;D1;35,28% a.a.;R$28.000;24;loan_115885;100.0%
CONSERVAS HENCK;24 meses;D1;35,28% a.a.;R$28.000;24;loan_115869;100.0%
SUPERMERCADO FACILITI;24 meses;C2;26,82% a.a.;R$94.000;24;loan_115736;100.0%
WIRELESS ONE PROVEDOR DE INTERNET LTDA;24 meses;B6;21,70% a.a.;R$44.000;24;loan_115713;100.0%
H Q S SOLUCOES EM TI;24 meses;D2;37,99% a.a.;R$50.000;24;loan_115666;100.0%
AUTO + COMERCIO DE VEICULOS;24 meses;D1;35,28% a.a.;R$56.000;24;loan_115584;100.0%
VIGILANTE SHOP;24 meses;D1;35,28% a.a.;R$98.000;24;loan_115490;100.0%
Inspek Serviços Técnicos;18 meses;B6;21,70% a.a.;R$76.000;25;loan_115421;100.0%
S.B SHOP INFORMATICA E SERVICOS;24 meses;E1;59,73% a.a.;R$28.000;25;loan_115364;100.0%
Cartuchos Cascavel;24 meses;D1;35,28% a.a.;R$66.000;25;loan_115325;100.0%
HAPPY HOUR;24 meses;C1;25,64% a.a.;R$28.000;25;loan_115185;100.0%
Mãozinhas que Fazem - Recreação Infantil;24 meses;B6;26,60% a.a.;R$34.000;25;loan_115141;100.0%
IGD EDUCACIONAL;24 meses;B6;21,70% a.a.;R$110.000;25;loan_113878;100.0%
WPM Informática;24 meses;D3;41,91% a.a.;R$94.000;25;loan_113608;100.0%
Clinica Petitto;24 meses;B6;21,70% a.a.;R$220.000;25;loan_111805;100.0%
TODO BLACK E POWER;24 meses;B6;21,70% a.a.;R$78.000;25;loan_115420;100.0%
RONDO PARTS;18 meses;B6;21,70% a.a.;R$118.000;25;loan_115208;100.0%
SUCESSO UNIFORMES;24 meses;D3;41,91% a.a.;R$82.000;26;loan_115134;100.0%
BAZAR DO UNIFORME E CONFECCOES;24 meses;E1;59,73% a.a.;R$22.000;26;loan_115088;100.0%
VISAO SOLUCOES EMPRESARIAIS;24 meses;C2;26,82% a.a.;R$44.000;26;loan_115059;100.0%
GR DIVISORIAS;24 meses;D1;35,28% a.a.;R$66.000;26;loan_115018;100.0%
CIA DA FESTA LOCACOES;24 meses;C3;28,32% a.a.;R$34.000;26;loan_114996;100.0%
AGAMENON;24 meses;D1;35,28% a.a.;R$28.000;26;loan_114882;100.0%
YARIS DISTRIBUIDORA;24 meses;B6;21,70% a.a.;R$110.000;26;loan_114809;100.0%
BOMBONIERE E MERCEARIA GOMES;24 meses;D1;35,28% a.a.;R$88.000;26;loan_114801;100.0%
Eficiency servicos administrativos eirelli;12 meses;D1;35,28% a.a.;R$54.000;26;loan_114715;100.0%
ACAZ SOLUCOES INTEGRADAS EM INFRAESTRUTURA DE REDE;10 meses;B5;20,70% a.a.;R$54.000;26;loan_114690;100.0%
HP Eletricidade;24 meses;C2;26,82% a.a.;R$76.000;27;loan_114684;100.0%
STARSOFT BRASIL;24 meses;B3;18,72% a.a.;R$196.000;27;loan_114647;100.0%
CONCEITO TELECOMUNICACOES E INFORMATICA;24 meses;D3;41,91% a.a.;R$28.000;27;loan_114630;100.0%
ntw contabilidade;24 meses;D1;35,28% a.a.;R$56.000;27;loan_114584;100.0%
Amart;18 meses;C1;25,64% a.a.;R$184.000;27;loan_114581;100.0%
UW Informática;24 meses;C2;26,82% a.a.;R$142.000;27;loan_114578;100.0%
DFC SERVICOS;24 meses;D3;41,91% a.a.;R$34.000;27;loan_114564;100.0%
KUMULUS SERVICOS EM CLOUD COMPUTING E DATABASE;24 meses;B2;17,74% a.a.;R$108.000;27;loan_114456;100.0%
PONTOCELL multimarcas;24 meses;D3;41,91% a.a.;R$56.000;27;loan_114291;100.0%
DELBOM;24 meses;B6;21,70% a.a.;R$328.000;27;loan_113454;100.0%
ACQUAPRO;24 meses;D1;35,28% a.a.;R$52.000;28;loan_113158;100.0%
AFX;24 meses;C3;28,32% a.a.;R$50.000;28;loan_105454;100.0%
SPEEDNET;24 meses;C2;26,82% a.a.;R$52.000;28;loan_101774;100.0%
DESPACHANTES 2 IRMÃOS;18 meses;C3;28,32% a.a.;R$54.000;28;loan_71499;100.0%
ENGENHARIA SOLUTIONS;24 meses;B4;19,70% a.a.;R$98.000;28;loan_114232;100.0%
Duo Gelatto;24 meses;C3;28,32% a.a.;R$328.000;28;loan_114144;100.0%
Aureon;24 meses;B5;20,70% a.a.;R$176.000;28;loan_113997;100.0%
SIAROM STORE;24 meses;D3;41,91% a.a.;R$44.000;28;loan_113872;100.0%
ARKHI TECNOLOGIA;12 meses;D3;41,91% a.a.;R$28.000;28;loan_113810;100.0%
