nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem;codigo_emprestimo_num
INTERMEDIUM EMPREENDIMENTOS E PARTICIPACOES LTDA;24 meses;C3;28,32% a.a.;R$56.000;14;loan_121331;100.0%;121331
TOPI CLOUD SERVICES TOP INFORMATION;24 meses;B3;18,72% a.a.;R$326.000;14;loan_121168;100.0%;121168
ECE Ferramentas ;12 meses;C2;26,82% a.a.;R$106.000;14;loan_121154;100.0%;121154
MADE IN BRAZIL COMERCIAL E IMPORTADORA;24 meses;B2;17,74% a.a.;R$314.000;14;loan_120946;100.0%;120946
Porto e Coelho;24 meses;D3;41,91% a.a.;R$100.000;14;loan_120712;100.0%;120712
CASAMETAL;18 meses;D1;35,28% a.a.;R$16.000;14;loan_120476;100.0%;120476
CARROS AUTOCENTER;24 meses;B6;21,70% a.a.;R$56.000;15;loan_120475;100.0%;120475
AUROCHS COUNTRY ORIGINS;24 meses;E1;59,73% a.a.;R$34.000;15;loan_120082;100.0%;120082
PET BRASIL;24 meses;D1;35,28% a.a.;R$34.000;15;loan_120072;100.0%;120072
Transportadora Guedes;24 meses;D3;41,91% a.a.;R$82.000;15;loan_120058;100.0%;120058
SLCOMM;24 meses;C3;28,32% a.a.;R$110.000;15;loan_119390;100.0%;119390
WORKOUT FITNESS;24 meses;D1;35,28% a.a.;R$28.000;15;loan_119249;100.0%;119249
Assuero Auto Peças;24 meses;E2;61,59% a.a.;R$56.000;15;loan_118041;100.0%;118041
INFOVALE - TELECOM;24 meses;B6;21,70% a.a.;R$328.000;15;loan_108355;100.0%;108355
Duo Sobremesas;24 meses;C3;28,32% a.a.;R$220.000;15;loan_100442;100.0%;100442
Pillar Administradora de Condominios;18 meses;D3;41,91% a.a.;R$56.000;15;loan_120638;100.0%;120638
METALURGICA JANUTT;24 meses;C1;25,64% a.a.;R$176.000;16;loan_120799;100.0%;120799
ALVAFLEX;24 meses;D2;37,99% a.a.;R$56.000;16;loan_120699;100.0%;120699
INCONT INTELIGENCIA CONTABIL;24 meses;D1;35,28% a.a.;R$56.000;16;loan_120617;100.0%;120617
LACCHIGAS E CONVENIENCIAS;24 meses;C1;25,64% a.a.;R$110.000;16;loan_120491;100.0%;120491
Arine;18 meses;D1;35,28% a.a.;R$54.000;16;loan_120215;100.0%;120215
4SUCCESS - TREINAMENTOS E CONSULTORIA;24 meses;D3;41,91% a.a.;R$28.000;16;loan_119938;100.0%;119938
Zematec;24 meses;C1;25,64% a.a.;R$34.000;16;loan_119920;100.0%;119920
ANIMALERIE;24 meses;B6;21,70% a.a.;R$28.000;16;loan_119881;100.0%;119881
JPG OFFSHORE;24 meses;B6;21,70% a.a.;R$142.000;16;loan_119768;100.0%;119768
SELECTION;24 meses;D1;35,28% a.a.;R$110.000;16;loan_119142;100.0%;119142
Lorrane Fernandes de Sena Rocha;24 meses;C3;28,32% a.a.;R$34.000;17;loan_118930;100.0%;118930
BOINA PRETA;24 meses;E2;61,59% a.a.;R$34.000;17;loan_118070;100.0%;118070
TALENTOS & EVENTOS;12 meses;D3;41,91% a.a.;R$28.000;17;loan_112626;100.0%;112626
Beatnik & Sons;18 meses;B6;21,70% a.a.;R$70.000;17;loan_110279;100.0%;110279
Hotel do Ildo;24 meses;B5;20,70% a.a.;R$164.000;17;loan_91042;100.0%;91042
CONAZA AUTO PECAS E SERVICOS;24 meses;C1;25,64% a.a.;R$56.000;17;loan_119336;100.0%;119336
Cervejaria 2 IRMAOS;24 meses;D2;37,99% a.a.;R$34.000;17;loan_119331;100.0%;119331
ART FERRO;24 meses;D3;41,91% a.a.;R$54.000;17;loan_119190;100.0%;119190
Desdobra - Design do Brasil;24 meses;C1;25,64% a.a.;R$28.000;17;loan_119119;100.0%;119119
CLINICA VETERINARIA SANTA HELENA;24 meses;D3;41,91% a.a.;R$90.000;17;loan_119099;100.0%;119099
TRULY MOLEN;24 meses;B6;21,70% a.a.;R$28.000;18;loan_119096;100.0%;119096
ALEK ;24 meses;C1;25,64% a.a.;R$56.000;18;loan_118871;100.0%;118871
REFEICENTER;24 meses;B6;21,70% a.a.;R$220.000;18;loan_118861;100.0%;118861
INOVAR COBRANCA;24 meses;B4;19,70% a.a.;R$108.000;18;loan_118860;100.0%;118860
BODY HALL ACADEMIA;24 meses;D3;41,91% a.a.;R$56.000;18;loan_118833;100.0%;118833
MAKTUB COLCHOES;24 meses;E2;61,59% a.a.;R$56.000;18;loan_118824;100.0%;118824
DIVA CALCADOS E ACESSORIOS;24 meses;D2;37,99% a.a.;R$28.000;18;loan_118715;100.0%;118715
OFFICINA;24 meses;D1;35,28% a.a.;R$54.000;18;loan_118582;100.0%;118582
BRASIL UNIDO CONSTRUCAO & CIA;24 meses;D2;37,99% a.a.;R$34.000;18;loan_118572;100.0%;118572
REI DAS PANELAS;24 meses;D2;37,99% a.a.;R$56.000;18;loan_118520;100.0%;118520
Auto Mecanica Styllo Car ;24 meses;C1;25,64% a.a.;R$44.000;19;loan_118431;100.0%;118431
ELETROMOVEIS PARATI;24 meses;D1;35,28% a.a.;R$28.000;19;loan_118399;100.0%;118399
INTERTAC COMPONENTES INDUSTRIAIS;24 meses;B6;21,70% a.a.;R$110.000;19;loan_118361;100.0%;118361
SHAMMAH PRODUCAO E MARKETING;24 meses;D1;35,28% a.a.;R$66.000;19;loan_118233;100.0%;118233
WE GOV;24 meses;D3;41,91% a.a.;R$66.000;19;loan_118113;100.0%;118113
DELL AR CONDICIONADO;18 meses;D3;41,91% a.a.;R$36.000;19;loan_118035;100.0%;118035
INTERMIDIA 1-EDITORACAO GRAFICA;24 meses;D3;41,91% a.a.;R$34.000;19;loan_117966;100.0%;117966
